The Chronicle of Higher Education,chronicle.com,"Academe Today, The Chronicle of Higher Education, Washington, D.C.",Best Overall Online Newspaper Service Weekly and other newspapers,1997,November 2019,,Y
New York Times,nytimes.com,New York Times on the Web,"Best Editorial Content in Online Newspaper Service Over 100,000 daily newspapers",1997,November 2019,,Y
Florida Today,floridatoday.com,"Space Online, Florida Today, Melbourne, FL","Best Editorial Content in Online Newspaper Service Under 100,000 daily newspapers",1997,November 2019,,Y
Computerworld,computerworld.com,"@ComputerWorld, ComputerWorld, Framingham, MA",Best Editorial Content in Online Newspaper Service Weekly and other newspapers,1997,November 2019,,Y
Philadelphia Inquirer,inquirer.com,"Philadelphia Online, Philadelphia Inquirer/Daily News, Philadelphia, PA","Best Use of Advertising by Online Newspaper Service Over 100,000 daily newspapers",1997,November 2019,,N
Bakersfield Californian,bakersfield.com,Bakersfield Californian,"Best Use of Advertising by Online Newspaper Service Under 100,000 daily newspapers",1997,November 2019,,N
Warfield's Business & Technology,review.net,"Review.net, Warfield's Business & Technology, West Palm Beach, FL",Best Use of Advertising by Online Newspaper Service Weekly and other newspapers,1997,November 2019,,N
CNET,cnet.com,"News.com, C|NET, San Francisco, CA",Best Online News Service by Non-Newspaper Company,1997,November 2019,,Y
Chicago Tribune,chicagotribune.com,chicagotribune.com,"Best Overall U.S. Newspaper Online Service, circ. over 100,000",1998,November 2019,,Y
Charlotte Sun Herald,yoursun.com,Sunline (The Charlotte Sun Herald),"Best Overall U.S. Newspaper Online Service, circ. under 100,000",1998,November 2019,,Y
Community Newspaper Company,-,"Town Online (Community Newspaper Company, Needham, MA)","Best Overall U.S. Newspaper Online Service - Weekly, Community, Free & Alternative",1998,November 2019,,Y
South China Morning Post,scmp.com,"South China Morning Post, Hong Kong",Best Overall Non-U.S. Newspaper Online Service,1998,November 2019,,Y
CNET,cnet.com,CNET’s news.com,Best Overall Non-Newspaper Online News Service,1998,November 2019,,Y
-,careers.boston.com,Careers.boston.com,Best Promotion of a Newspaper Online Service,1998,November 2019,,N
New York Times,nytimes.com,The New York Times on the Web,Best News Section in a Newspaper Online Service,1998,November 2019,,Y
The Nando SportsService,-,The Nando SportsServer,Best Sports Section in a Newspaper Online Service,1998,November 2019,,Y
Chicago Tribune,chicagotribune.com,chicagotribune.com,Best Business Section in a Newspaper Online Service,1998,November 2019,,Y
Star Tribune,startribune.com,startribune.com's FreeTime,Best Entertainment Section in a Newspaper Online Service,1998,November 2019,,Y
Philadelphia Inquirer,inquirer.com,“Blackhawk Down” - phillynews.com,Best Special Section in a Newspaper Online Service,1998,November 2019,,Y
Chicago Tribune,chicagotribune.com,“Lost Mariners” - chicagotribune.com,Best Design of a Newspaper Online Service,1998,November 2019,,*
Kansas City Star,kansascity.com,"""Money Games: Inside the NCAA"" - The Kansas City Star",Best Use of Interactivity in a Newspaper Online Service,1998,November 2019,,*
Community Newspaper Company,-,"Town Online Working (Community Newspaper Company, Needham, MA)",Best Commercial Application in a Newspaper Online Service,1998,November 2019,,N
Washington Post,washingtonpost.com,washingtonpost.com,"Best Overall U.S. Newspaper Online Service, circ. over 100,000",1999,November 2019,,Y
El Nuevo Herald,elnuevoherald.com,El Nuevo Herald Digital,"Best Overall U.S. Newspaper Online Service, circ. under 100,000",1999,November 2019,,Y
The Chronicle of Higher Education,chronicle.com,The Chronicle of Higher Education,"Best Overall U.S. Newspaper Online Service – Weekly, Community, Free & Alternative",1999,November 2019,,Y
La Nacion ,lanacion.com.ar,La Nacion Line,Best Overall Non-U.S. Newspaper Online Service,1999,November 2019,,Y
CNET,cnet.com,CNET news.com,Best Overall Non-Newspaper Online News Service,1999,November 2019,,Y
NewsNet Brigham Young University,universe.byu.edu,NewsNet (Brigham Young University),Best College Newspaper Online Service,1999,November 2019,,Y
Chicago Tribune,metromix.com,Metromix (chicagotribune.com),Best Promotion of a Newspaper Online Service,1999,November 2019,,N
Washington Post,washingtonpost.com,washingtonpost.com,Best News Section in a Newspaper Online Service,1999,November 2019,,Y
Austin American Statesman,austin360.com,Austin360.com,Best Sports Section in a Newspaper Online Service,1999,November 2019,,Y
Maine Business Online,mainebusiness.com,Maine Business Online,Best Business Section in a Newspaper Online Service,1999,November 2019,,Y
Calendar Live!,-,Calendar Live!,Best Entertainment Section in a Newspaper Online Service,1999,November 2019,,Y
San Jose Mercury News,mercurynews.com,Mercury Center (Microsoft Trial),Best Special Section in a Newspaper Online Service,1999,November 2019,,Y
Washington Post,washingtonpost.com,washingtonpost.com,Best Classified Section in a Newspaper Online Service,1999,November 2019,,N
New Jersey Online,-,New Jersey Online,Best Community Publishing Effort in a Newspaper Online Service,1999,November 2019,,Y
Seattle Times,seattletimes.com,School Guide (seattletimes.com),Best Directory Application in a Newspaper Online Service,1999,November 2019,,*
Washington Post,washingtonpost.com,washingtonpost.com,Best Design of a Newspaper Online Service,1999,November 2019,,*
-,winetoday.com,Winetoday.com,Best Use of Interactivity in a Newspaper Online Service,1999,November 2019,,*
-,charlotte-realtors.com,Sunline (charlotte-realtors.com),Best Shopping Application in a Newspaper Online Service,1999,November 2019,,N
Chicago Tribune,chicagotribune.com,chicagotribune.com,"Best Overall U.S. Newspaper Online Service, circ. over 100,000",2000,November 2019,,Y
Christian Science Monitor,csmonitor.com,Christian Science Monitor's Electronic Edition,"Best Overall U.S. Newspaper Online Service, circ. under 100,000",2000,November 2019,,Y
Orlando Weekly,orlandoweekly.com,Orlando Weekly,"Best Overall U.S. Newspaper Online Service - Weekly, Community, Free & Alternative",2000,November 2019,,Y
Financial Times,ft.com,ft.com,Best Overall Non-U.S. Newspaper Online Service,2000,November 2019,,Y
MSNBC,msnbc.com,MSNBC Online,Best Overall Non-Newspaper Online News Service,2000,November 2019,,Y
NewsNet Brigham Young University,universe.byu.edu,NewsNet (Brigham Young University),Best College Newspaper Online Service,2000,November 2019,,Y
Chicago Tribune,metromix.com,Metromix.com (chicagotribune.com),Best Promotion of a Newspaper Online Service,2000,November 2019,,N
Washington Post,washingtonpost.com,washingtonpost.com,Best News Section in a Newspaper Online Service,2000,November 2019,,Y
Florida Times-Union,jacksonville.com,Jacksonville.com (The Florida Times-Union),Best Sports Section in a Newspaper Online Service,2000,November 2019,,Y
Financial Times,ft.com,ft.com,Best Business Section in a Newspaper Online Service,2000,November 2019,,Y
-,postnet.com,postnet.com,Best Entertainment Section in a Newspaper Online Service,2000,November 2019,,Y
Daily Camera,dailycamera.com,TheDailyCamera.com,Best Special Section in a Newspaper Online Service,2000,November 2019,,Y
Chicago Tribune,chicagotribune.com,Chicago Tribune Homes,Best Classified Section in a Newspaper Online Service,2000,November 2019,,N
-,syracuse.com,Syracuse Online,Best Community Publishing Effort in a Newspaper Online Service,2000,November 2019,,Y
Detroit Metro Times,metrotimes.com,Restaurant Metropolis on metrotimes.com,Best Directory Application in a Newspaper Online Service,2000,November 2019,,*
The Guardian,theguardian.com,Guardian Unlimited,Best Design of a Newspaper Online Service,2000,November 2019,,*
Washington Post,washingtonpost.com,Live Online on washingtonpost.com,Best Use of Interactivity in a Newspaper Online Service,2000,November 2019,,*
Washington Post,washingtonpost.com,Shopping on washingtonpost.com,Best Shopping Application in a Newspaper Online Service,2000,November 2019,,N
The St. Augustine Record,staugustine.com,staugustine.com,"Best Overall U.S. Newspaper Online Service, circ. under 50,000",2001,November 2019,,Y
Christian Science Monitor,csmonitor.com,csmonitor.com (The Christian Science Monitor),"Best Overall U.S. Newspaper Online Service, circ. 50,000-99,999",2001,November 2019,,Y
The News & Observer,newsobserver.com,"newsobserver.com (The News & Observer, Raleigh, NC)","Best Overall U.S. Newspaper Online Service, circ. 100,000-250,000",2001,November 2019,,Y
Washington Post,washingtonpost.com,washingtonpost.com,"Best Overall U.S. Newspaper Online Service, circ. over 250,000",2001,November 2019,,Y
The Village Voice,villagevoice.com,The Village Voice,"Best Overall U.S. Newspaper Online Service – Weekly, Community, Alternative & Free",2001,November 2019,,Y
Financial Times,ft.com,ft.com,Best Overall Non-U.S. Newspaper Online Service,2001,November 2019,,Y
MSNBC,msnbc.com,MSNBC.com,Best Overall Non-Newspaper Online News Service,2001,November 2019,,Y
NewsNet Brigham Young University,universe.byu.edu,NewsNet (Brigham Young University),Best College Newspaper Online Service,2001,November 2019,,Y
The Globe and Mail,theglobeandmail.com,globeandmail.com,Best Promotion of a Newspaper Online Service,2001,November 2019,,N
Washington Post,washingtonpost.com,washingtonpost.com,Best News Section in a Newspaper Online Service,2001,November 2019,,Y
Florida Times-Union,jacksonville.com,Jacksonville.com (The Florida Times-Union),Best Sports Section in a Newspaper Online Service,2001,November 2019,,Y
Financial Times,ft.com,ft.com,Best Business Section in a Newspaper Online Service,2001,November 2019,,Y
The Arizona Republic,azcentral.com,azcentral.com (The Arizona Republic),Best Entertainment Section in a Newspaper Online Service,2001,November 2019,,Y
The Dallas Morning News,dallasnews.com,"""Toxic Traps"" - DallasNews.com",Best Special Section in a Newspaper Online Service,2001,November 2019,,Y
Washington Post,washingtonjobs.com,washingtonjobs.com,Best Classified Section in a Newspaper Online Service,2001,November 2019,,N
-,nj.com,New Jersey Online,Best Community Publishing Effort of a Newspaper Online Service,2001,November 2019,,Y
Seattle Times,seattletimes.com,School Guide (seattletimes.com),Best Directory Application in a Newspaper Online Service,2001,November 2019,,*
Washington Post,washingtonpost.com,washingtonpost.com,Best Design of a Newspaper Online Service,2001,November 2019,,*
Washington Post,washingtonpost.com,washingtonpost.com,Best Use of Interactivity in a Newspaper Online Service,2001,November 2019,,*
USA Today,usatoday.com,USATODAY.com,Best Shopping Application in a Newspaper Online Service,2001,November 2019,,N
New York Times,nytimes.com,NYTimes.com,Best Use of Rich Media,2001,November 2019,,Y
Athens Banners-Herald,onlineathens.com,Online Athens,"Best Overall U.S. Newspaper Online Service, daily circ. under 50,000",2002,November 2019,,Y
The Topeka Capital-Journal,cjonline.com,The Topeka Capital-Journal/CJOnline.com,"Best Overall U.S. Newspaper Online Service, daily circ. 50,000-99,999",2002,November 2019,,Y
Pittsburgh Tribune-Review,triblive.com,PittsburghLIVE.com,"Best Overall U.S. Newspaper Online Service, daily circ. 100,000-250,000",2002,November 2019,,Y
L.A. Times,latimes.com,latimes.com,"Best Overall U.S. Newspaper Online Service, national or daily circ. over 250,000",2002,November 2019,,Y
Education Week,edweek.org,Education Week on the Web,"Best Overall U.S. Newspaper Online Service – Weekly, Community, Alternative & Free",2002,November 2019,,Y
ABC News,abcnews.go.com,ABCNews.com,Best Overall Non-Newspaper Online News Service,2002,November 2019,,Y
Northern Star,northernstar.info,The Northern Star Online (Northern Illinois University),Best College Newspaper Online Service,2002,November 2019,,Y
Boston Globe,boston.com,Boston.com's @bat Insider,Best Promotion of a Newspaper Online Service,2002,November 2019,,N
Newsday,newsday.com,Newsday.com,Best News Section in a Newspaper Online Service,2002,November 2019,,Y
Lubbock Avalanche-Journal,lubbockonline.com,RedRaiders.com (The Lubbock Avalanche-Journal),Best Sports Section in a Newspaper Online Service,2002,November 2019,,Y
USA Today,usatoday.com,USATODAY.com,Best Business Section in a Newspaper Online Service,2002,November 2019,,Y
Chicago Tribune,chicago.metromix.com,Metromix.com (chicagotribune.com),Best Entertainment Section in a Newspaper Online Service,2002,November 2019,,Y
The Topeka Capital-Journal,cjonline.com,The Topeka Capital-Journal/CJOnline.com,Best Special Section in a Newspaper Online Service - News or Event,2002,November 2019,,Y
South Florida Sun Sentinel,sun-sentinel.com,South Florida Sun-Sentinel,Best Special Section in a Newspaper Online Service - Enterprise,2002,November 2019,,Y
The Chronicle of Higher Education,chronicle.com,The Chronicle of Higher Education's Career Network,Best Classified Section in a Newspaper Online Service,2002,November 2019,,Y
Albany Times-Union,timesunion.com,timesunion.com,Best Community Publishing Effort of a Newspaper Online Service,2002,November 2019,,Y
-,lasvegas.com,lasvegas.com,Best Directory Application in a Newspaper Online Service,2002,November 2019,,*
USA Today,usatoday.com,USATODAY.com,Best Design of a Newspaper Online Service,2002,November 2019,,*
The Augusta Chronicle,augustachronicle.com,The Augusta Chronicle - AugustaArchives.com,Best Shopping Application in a Newspaper Online Service,2002,November 2019,,N
Hannibal Courier-Post,hannibal.net,"Hannibal.net, the online edition of the Hannibal Courier-Post, Hannibal, MO",Best Use of Rich Media,2002,November 2019,,Y
-,mysimon.com,mySimon,Best Internet Shopping Service with over 1 Million Monthly Visitors,2003,November 2019,,N
Food Network,foodnetwork.com,Food Network,Best Internet Shopping Service with less than 1 Million Monthly Visitors,2003,November 2019,,N
Northern Star,northernstar.info,Northern Star Online (Northern Illinois University),Best College Newspaper Internet Service,2003,November 2019,,Y
New York Times,nytimes.com,The New York Times on The Web,Best Overall Newspaper-Affiliated Internet Service with Monthly Unique Visitors over 1 Million,2003,November 2019,,Y
Lawrence Journal-World,ljworld.com,LJWorld.com (The Lawrence Journal-World),Best Overall Newspaper-Affiliated Internet Service with Monthly Unique Visitors less than 1 Million,2003,November 2019,,Y
CBS News,cbsnews.com,CBSNEWS.com,Best Overall Network TV/Cable-Affiliated Internet Service,2003,November 2019,,Y
WNET,thirteen.org,Thirteen Online,Best Overall Local TV/Cable-Affiliated Internet Service,2003,November 2019,,Y
BBC,bbc.co.uk,BBC World Service,Best Overall Network or Syndicated Radio-Affiliated Internet Service,2003,November 2019,,Y
Q101,Q101.com,www.Q101.com,Best Overall Local Radio-Affiliated Internet Service,2003,November 2019,,Y
The Dallas Morning News,dallasnews.com,DallasNews.com,Best Internet News Service with over 1 Million Monthly Visitors,2003,November 2019,,Y
Lawrence Journal-World,ljworld.com,LJWorld.com (The Lawrence Journal-World),Best Internet News Service with less than 1 Million Monthly Visitors,2003,November 2019,,Y
ESPN,espn.com,ESPN.com,Best Internet Sports Service with over 1 Million Monthly Visitors,2003,November 2019,,Y
Lawrence Journal-World,kusports.com,KUsports.com (The Lawrence Journal-World),Best Internet Sports Service with less than 1 Million Monthly Visitors,2003,November 2019,,Y
MarketWatch,marketwatch.com,CBS MarketWatch.com,Best Internet Business Service with over 1 Million Monthly Visitors,2003,November 2019,,Y
SiliconValley.com,siliconvalley.com,SiliconValley.com,Best Internet Business Service with less than 1 Million Monthly Visitors,2003,November 2019,,Y
Washington Post,washingtonpost.com,Entertainment Guide (washingtonpost.com),Best Internet Entertainment Service with over 1 Million Monthly Visitors,2003,November 2019,,Y
lawrence.com,lawrence.com,Lawrence.com,Best Internet Entertainment Service with less than 1 Million Monthly Visitors,2003,November 2019,,Y
Financial Times,ft.com,"""Weapons of Mass Destruction"" - ft.com",Best Special Feature in an Internet Service - News or Event - with over 1 Million Monthly Visitors,2003,November 2019,,Y
PBS,pbs.org,"""Explore The World Online"" - Wide Angle Online",Best Special Feature in an Internet Service - News or Event - with less than 1 Million Monthly Visitors,2003,November 2019,,Y
New York Times,nytimes.com,"""102 Minutes: Inside The Towers"" - The New York Times on The Web",Best Special Feature in an Internet Service - Enterprise - with over 1 Million Monthly Visitors,2003,November 2019,,Y
Ventura County Star,vcstar.com,"""Lewis & Clark: Voyage of Rediscovery"" - InsideVC.com And The Ventura County Star",Best Special Feature in an Internet Service - Enterprise - with less than 1 Million Monthly Visitors,2003,November 2019,,Y
Cincinnati Enquirer,cincinnati.com,"""Neighbor to Neighbor"" - The Cincinnati Enquirer and Cincinnati.com",Best Internet Community Service Effort with over 1 Million Monthly Visitors,2003,November 2019,,Y
Florida Times-Union,jacksonville.com,"First Coast Community, Jacksonville.com/The Florida Times-Union",Best Internet Community Service Effort with less than 1 Million Monthly Visitors,2003,November 2019,,Y
USA Today,usatoday.com,USATODAY.com,Best Overall Design of an Internet Service with over 1 Million Monthly Visitors,2003,November 2019,,*
PBS,pbs.org,Frontline/World: stories from a small planet,Best Overall Design of an Internet Service with less than 1 Million Monthly Visitors,2003,November 2019,,*
MSNBC,msnbc.com,MSNBC.com,Best Use Of Rich Media in an Internet Service with over 1 Million Monthly Visitors,2003,November 2019,,Y
South Florida Sun Sentinel,sun-sentinel.com,"""10 Years After Andrew"" - South Florida Sun-Sentinel",Best Use Of Rich Media in an Internet Service with less than 1 Million Monthly Visitors,2003,November 2019,,Y
Washington Post,washingtonpost.com,washingtonpost.com/Real Estate,Best Internet Classified Service with over 1 Million Monthly Visitors,2003,November 2019,,N
The Chronicle of Higher Education,chronicle.com,The Chronicle of Higher Education's Career Network,Best Internet Classified Service with less than 1 Million Monthly Visitors,2003,November 2019,,N
Star Tribune,startribune.com,Star Tribune,Best Internet Shopping Service over 1 million monthly visitors,2004,November 2019,,N
-,vegas.com,VEGAS.com,Best Internet Shopping Service under 1 million monthly visitors,2004,November 2019,,N
Daily Bruin,dailybruin.com,bruinwalk.com (UCLA),Best College Newspaper Internet Service,2004,November 2019,,Y
New York Times,nytimes.com,NYTimes.com,Best Overall Newspaper-affiliated Internet Service with monthly unique visitors over 1 million,2004,November 2019,,Y
Newsday,newsday.com,NYNewsday.com,Best Overall Newspaper-affiliated Internet Service with monthly unique visitors under 1 million,2004,November 2019,,Y
CNN,cnn.com,CNN.com,Best Overall Network TV/Cable-affiliated Internet Service,2004,November 2019,,Y
KGW8,kgw.com,"KGW.com (Portland, OR)",Best Overall Local TV/Cable-affiliated Internet Service,2004,November 2019,,Y
Minnesota Public Radio,mpr.org,Minnesota Public Radio,Best Overall Network or Syndicated Radio-affiliated Internet Service,2004,November 2019,,Y
Q101,Q101.com,"Q101.com (Chicago, IL)",Best Overall Local Radio-affiliated Internet Service,2004,November 2019,,Y
Washington Post,washingtonpost.com,washingtonpost.com,Best Internet News Service over 1 million monthly visitors,2004,November 2019,,Y
The Topeka Capital-Journal,cjonline.com,CJOnline/The Topeka Capital-Journal,Best Internet News Service under 1 million monthly visitors,2004,November 2019,,Y
SportsLine,sportsline.com,CBS SportsLine.com,Best Internet Sports Service over 1 million monthly visitors,2004,November 2019,,Y
Lawrence Journal-World,kusports.com,The Lawrence Journal-World's KUsports.com,Best Internet Sports Service under 1 million monthly visitors,2004,November 2019,,Y
Wall Street Journal,wsj.com,The Wall Street Journal Online,Best Internet Business Service over 1 million monthly visitors,2004,November 2019,,Y
SiliconValley.com,siliconvalley.com,SiliconValley.com of Knight Ridder Digital,Best Internet Business Service under 1 million monthly visitors,2004,November 2019,,Y
Washington Post,washingtonpost.com,washingtonpost.com,Best Internet Entertainment Service over 1 million monthly visitors,2004,November 2019,,Y
lawrence.com,lawrence.com,lawrence.com (The World Company),Best Internet Entertainment Service under 1 million monthly visitors,2004,November 2019,,Y
CNN,cnn.com,CNN.com (coverage of Iraq war),"Best Special Feature in an Internet Service - News or Event, over 1 million monthly visitors",2004,November 2019,,Y
California Connected,-,California Connected (recall of Governor Gray Davis),"Best Special Feature in an Internet Service - News or Event, under 1 million monthly visitors",2004,November 2019,,Y
CourtTV,courttv.com,Courttv.com ($300 million theft from Boston's Gardner's Art Museum),"Best Special Feature in an Internet Service - Enterprise, over 1 million monthly visitors",2004,November 2019,,Y
WNET,wnet.org,"Thirteen/WNET New York - ""BERGA: Soldiers of Another War Online""","Best Special Feature in an Internet Service - Enterprise, under 1 million monthly visitors",2004,November 2019,,Y
L.A. Times,latimes.com,Latimes.com,Best Internet Community Service Effort over 1 million monthly visitors,2004,November 2019,,Y
The Oklahoman,oklahoman.com,"NewsOK.com (Oklahoma City, OK)",Best Internet Community Service Effort under 1 million monthly visitors,2004,November 2019,,Y
Movies.com,movies.com,Movies.com (The Walt Disney Co.),Best Overall Design of an Internet Service over 1 million monthly visitors,2004,November 2019,,*
Amarillo Globe-News,amarillo.com,Amarillo.com (Morris Communications),Best Overall Design of an Internet Service under 1 million monthly visitors,2004,November 2019,,*
USA Today,usatoday.com,USATODAY.com,Best Use of Rich Media in an Internet Service over 1 million monthly visitors,2004,November 2019,,Y
WNET,wnet.org,Thirteen/WNET New York,Best Use of Rich Media in an Internet Service under 1 million monthly visitors,2004,November 2019,,Y
New York Times,realestate.nytimes.com,NYTimes.com (realestate.nytimes.com),Best Internet Classified Service over 1 million monthly visitors,2004,November 2019,,N
Wall Street Journal,online.wsj.com,"CareerJournal.com, The Wall Street Journal's executive career site",Best Internet Classified Service under 1 million monthly visitors,2004,November 2019,,N
shoplocal,shoplocal.com,ShopLocal.com,Best Internet Shopping Service over 1 million monthly visitors,2005,November 2019,,N
Steamboat Homefinder,steamboathomefinder.com,SteamboatHomefinder,Best Internet Shopping Service under 1 million monthly visitors,2005,November 2019,,N
ASU Web Devil,-,ASU Web Devil,Best College Newspaper Internet Service,2005,November 2019,,Y
AARP The Magazine,aarp.org/magazine/,AARP The Magazine Online,Best Magazine-Affilated Web Site,2005,November 2019,,Y
New York Times,nytimes.com,NYTimes.com,Best Overall Newspaper-affiliated Internet Service with monthly unique visitors over 1 million,2005,November 2019,,Y
Providence Journal,providencejournal.com,"projo.com, the Web site of The Providence Journal",Best Overall Newspaper-affiliated Internet Service with monthly unique visitors under 1 million,2005,November 2019,,Y
MSNBC,msnbc.com,MSNBC on the Internet,Best Overall Network TV/Cable-affiliated Internet Service,2005,November 2019,,Y
The Oklahoman,oklahoman.com,"NewsOK.com (Oklahoma City, OK)",Best Overall Local TV/Cable-affiliated Internet Service,2005,November 2019,,Y
CBC,cbc.ca,CBC.ca,Best Overall Network or Syndicated Radio-affiliated Internet Service,2005,November 2019,,Y
WTOP,wtop.com,"wtopnews.com (WTOP Radio, Washington, D.C.)",Best Overall Local Radio-affiliated Internet Service,2005,November 2019,,Y
Slate,slate.com,Slate Magazine,Best Internet News Service over 1 million monthly visitors,2005,November 2019,,Y
Lawrence Journal-World,ljworld.com,LJWorld.com,Best Internet News Service under 1 million monthly visitors,2005,November 2019,,Y
Sports Illustrated,si.com,SI.com,Best Internet Sports Service over 1 million monthly visitors,2005,November 2019,,Y
Milwaukee Journal Sentinel,jsonline.com,Packer Insider,Best Internet Sports Service under 1 million monthly visitors,2005,November 2019,,Y
MarketWatch,marketwatch.com,MarketWatch,Best Internet Business Service over 1 million monthly visitors,2005,November 2019,,Y
Crain's Chicago Business,chicagobusiness.com,ChicagoBusiness.com,Best Internet Business Service under 1 million monthly visitors,2005,November 2019,,Y
Slate,slate.com,Slate Magazine,Best Internet Entertainment Service over 1 million monthly visitors,2005,November 2019,,Y
Orlando CityBeat,-,Orlando CityBeat,Best Internet Entertainment Service under 1 million monthly visitors,2005,November 2019,,Y
-,-,"11-M Matanza en Madrid (coverage of March 11, 2004, terrorist attacks)","Best Special Feature in an Internet Service - News or Event, over 1 million monthly visitors",2005,November 2019,,Y
Knoxville News Sentinel,knoxnews.com,Knoxville News Sentinel (Inside the Toughman),"Best Special Feature in an Internet Service - News or Event, under 1 million monthly visitors",2005,November 2019,,Y
MSNBC,msnbc.com,MSNBC on the Internet (The Big Picture: Race in America),"Best Special Feature in an Internet Service - Enterprise, over 1 million monthly visitors",2005,November 2019,,Y
WNET,wnet.org,Thirteen/WNET New York (Colonial House),"Best Special Feature in an Internet Service - Enterprise, under 1 million monthly visitors",2005,November 2019,,Y
Indianapolis Star,indystar.com,Indianapolis Star Citizen's Guide,Best Internet Community Service Effort over 1 million monthly visitors,2005,November 2019,,Y
The Orange County Register,ocregister.com,OCRegister.com,Best Internet Community Service Effort under 1 million monthly visitors,2005,November 2019,,Y
Washington Post,washingtonpost.com,washingtonpost.com,Best Overall Design of an Internet Service over 1 million monthly visitors,2005,November 2019,,*
Orlando CityBeat,-,Orlando CityBeat,Best Overall Design of an Internet Service under 1 million monthly visitors,2005,November 2019,,*
South Florida Sun Sentinel,sun-sentinel.com,Svek's Instant Replay (South Florida Sun-Sentinel),Best Use of Rich Media in an Internet Service over 1 million monthly visitors,2005,November 2019,,Y
TELETOON,teletoon.com,TELETOON.com (TELETOON Canada Inc.),Best Use of Rich Media in an Internet Service under 1 million monthly visitors,2005,November 2019,,Y
Nature America Inc.,-,Naturejobs (Nature America Inc.),Best Internet Classified Service over 1 million monthly visitors,2005,November 2019,,N
The Palm Beach Post,palmbeachpost.com,PalmBeachPost.com Classifieds,Best Internet Classified Service under 1 million monthly visitors,2005,November 2019,,N
Washington Post,washingtonpost.com,washingtonpost.com,Best Overall Newspaper-Affiliated Internet Service with over 1 million unique monthly visitors,2006,November 2019,,Y
The Roanoke Times,roanoke.com,roanoke.com,Best Overall Newspaper-Affiliated Internet Service under 1 million unique monthly visitors,2006,November 2019,,Y
Baltimore City Paper,baltimoresun.com,Baltimore City Paper Online,Best Weekly Newspaper-Affiliated Web Service,2006,November 2019,,Y
CBS News,cbsnews.com,CBSNews.com,Best Overall Network TV/Cable-Affiliated Internet Service,2006,November 2019,,Y
4WWL,wwltv.com,"WWLTV.com (New Orleans, LA)",Best Overall Local TV/Cable-Affiliated Internet Service,2006,November 2019,,Y
Newsweek,newsweek.com,Newsweek.com,Best National Magazine-Affiliated Web Site,2006,November 2019,,Y
SqueezeOC,ocregister.com,"SqueezeOC.com (Orange County, CA)",Best Regional Magazine-Affiliated Web Site,2006,November 2019,,Y
Slate,slate.com,Slate Magazine,Best Internet News Service over 1 million unique monthly visitors,2006,November 2019,,Y
Naples Daily News,naplenews.com,The Naples Daily News,Best Internet News Service under 1 million unique monthly visitors,2006,November 2019,,Y
The Kansas City Star,kansascity.com,"Crime Scene KC Blog, The Kansas City Star and KansasCity.com",Best Media-Affiliated News Blog,2006,November 2019,,Y
Sports Illustrated,si.com,SI.com,Best Internet Sports Service over 1 million unique monthly visitors,2006,November 2019,,Y
Chicago Tribune,chicagotribune.com,ChicagoSports.com,Best Internet Sports Service under 1 million unique monthly visitors,2006,November 2019,,Y
The News Tribune,thenewstribune.com,TheNewsTribune.com (Mike Sando's Seattle Seahawks blog),Best Media-Affiliated Sports Blog,2006,November 2019,,Y
USA Today,usatoday.com,USATODAY.com,Best Internet Business Service over 1 million unique monthly visitors,2006,November 2019,,Y
CFO,cfo.com,CFO.com,Best Internet Business Service under 1 million unique monthly visitors,2006,November 2019,,Y
